Date,Division,Annee,Revenus_Millions_Euro,Charges_Millions_Euro,Cost_Income_Ratio_Pct,Effectifs,Agences,Commentaire_Operationnel
2023-12-31,Retail Banking France,2023,17800,12600,70.8,52000,1850,Optimisation réseau
2024-12-31,Retail Banking France,2024,18900,13200,69.8,51200,1780,Digitalisation accélérée
2023-12-31,Corporate Banking,2023,14200,8500,59.9,28000,45,Excellence opérationnelle
2024-12-31,Corporate Banking,2024,15600,9100,58.3,28500,47,Croissance profitable
2023-12-31,International,2023,12800,9200,71.9,85000,2800,Expansion contrôlée
2024-12-31,International,2024,14100,9800,69.5,87000,2850,Amélioration efficacité
2023-12-31,Global Markets,2023,6200,4800,77.4,12000,25,Volatilité marchés
2024-12-31,Global Markets,2024,6800,5100,75.0,12200,25,Performance améliorée
2023-12-31,Asset Management,2023,2100,1400,66.7,8500,15,Croissance AUM
2024-12-31,Asset Management,2024,2350,1500,63.8,8800,15,Efficacité renforcée
